Notes,SiteID,RecoveryMethod,MeshSize,RecoveryMethodNotes
"the site is located on Lake Chalain - the plant remains are from level VIII at Chalain station 3 (site dated between 3200 and 2900 BC); Baudais et al. state that the preservation conditions were such that a spatial study of the plant remains across the village was possible; the surface excavation was large enough to encompass all or part of several buildings - preservation of plant remains (by waterlogging and charring) was good over all the site; archaeobotany: for this study, PVC tubes with a diameter of 12 cm were driven into the sediments prior to the excavation (and included external and internal contexts around and within houses), then collected and sampled once the excavation was completed; a series of 49 samples spaced apart 2 m has been isolated [figure 1 in the report presents the location of these samples from the grid and plan of the buildings]; all samples were prepared in the laboratory and sieved in water - from each sample, 20g were sieved with a mesh size of 0.25 mm, 50g of the 0.5 mm and 200g with the meshes 1, 2, 4 and 8 mm; Baudais et al. note that on the outside of the buildings recognized by the arrangement of floors, the samples are poor in taxa and in plant remains but inside the buildings the samples are more diverse; Baudais et al. record waterlogged and charred taxa in 49+1 samples (total=50 - not sure where the extra sample is from: context BC73) in table 4; Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains + waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S8873,wet-sieving,"8.0mm, 4.0mm, 2.0mm, 1.0mm, 0.5mm, 0.25mm",NULL
"Robinson reports that the site is in an area of low-lying land that was originally below sea level in the waterway that linked the N Sea with the Skagerak; after marine transgression in c.2500 BC the area was exposed; today much of the land is cultivated; the site is made up of a series of farms and field systems dating to the EBA and LBA; in the EBA farms and fields were located on dunes in the W of the area - the farms comprised 3-aisled long houses and circular structures surrounded by a ditch or posts (possibly animal pens, granarys or for storing hay); occupation at the farms was short-lived (possibly for one generation) which then were abandoned and the land was given over to cultivated fields; Robinson also notes that there were repeated episodes of ploughing/plough soil formation and many ard marks indicative of arable fields (best examples in the LBA) [a date of 3140 <U+00B1> 40 bp (no lab code given) is recorded for the earliest 3-aisled house at EBA site 2]; archaeobotany: Robinson states that several soil samples from structures in the EBA settlement sites 2 and 3 were sampled - ditches and post holes associated with the circular structures produced very few remains and the richest samples were from hearths and settlement layers within the vicinity of the entrances to the houses (no details of exact sample numbers are is given); he notes also that plant remains were mostly charred and represented mixtures of burnt grain, peat ash and processing waste; Robinson lists taxa (total numbers but not ubiquity) in the samples from sites 2 and 3 (amalgamated; table 7); no details of processing (e.g., methods, sieve sizes) are given in the 2003 report but in the unpublished 1995 NNU report no. 15 wet-sieving with a mesh size of 0.5 mm is mentioned [Robinson lists uncharred specimens -I haven't included these in the db]",S8882,wet-sieving,0.5mm,NULL
"the site is located in Djursland - E Jutland; Robinson notes that in the region large portions of the Neolithic and BA landscape with remains of houses and fields are preserved under thick layers of drift sand (more details are given in Boas 1997); he states that drift sand is thought to have been caused by human actions and in severe cases has led to the abandonment of fields and houses; a series of aisled houses were excavated in the Hemmed Plantation and Hemmed Church sites; archaeobotany: analyses of the late Neolithic/EBA occupations at the Church site were based on samples from House III (A60) - a 2-aisled house; samples were taken from pits dated to 2000BC (Single Grave culture) and from the post-holes in the house dated to 1700BC (intermediate phase LNeo/EBA); Robinson lists numbers of charred taxa found in the samples from each phase (presumably amalgamated totals for several samples taken from House III) but not ubiquity; in Henriksen's 2000 NNU report he notes that flotation done at Djursland museum was on a 1mm mesh and that additional material floated in the NNU on a 0.5mm mesh did not significantly add to the numbers of small seeded taxa recovered [in Henriksen's 2000 NNU report the numbers of items in the two phases are amalgamated and so no extra taxa have been added to the list in the db]",S8885,flotation,"1.0mm, 0.5mm",NULL
"little information about the site is given in Robinson's 2003 report (and I can't find any additional references) apart from the fact that the site is in Thy and is located on a beach ridge landscape; archaeobotany: likewise the details on samples/sampling is equally sparse - except that the sample/s were taken from a culture layer; all remains are charred [the full report by Robinson and Harild is unpublished]",S8886,NULL,NULL,NULL
"the site is in S Jutland near Haderslev (c. 1km E of Starup); it was excavated by Erik Jorgensen in the ?1970s; he submitted the samples for a//bot analysis; archaeobotany: the excavator recovered the plant remains using flotation (no details of sieve sizes are given); the 3 samples with charred remains were from the fills of pits in trench III (pits A20, A21, A31) and a clay disc covered on both sides with the imprints of plant debris was found in the same trench in pit 646; lists of taxa identified in the 3 samples are given in Robinson's 1996 report; he notes that all three had burnt lumps of amorphous material that could be charred bread, porridge or hazelnuts; the clay disc (with better preserved imprints on one side) is covered with the impressions of emmer - both husk (culm, awns and ?spkt fks) and grains; Robinson concludes on the basis of the lack of weed seeds/chaff that the assemblage represents a processed cleaned product which was deposited in the pits and not processing waste - he also suggests that the emmer chaff could have been used in the firing of the clay disc",S8888,flotation,NULL,NULL
"the site is located near Gram the refrigerator factory to the S of Vogens; it was excavated by the Haderslev museum in 1994 (Ethelberg 2000); 5 houses were found at the site - the earliest was a 2-aisled type (House V) and dated to the late Neo, 3 were 3-aisled and were EBA in date (including House IV) and the 5th was a 'frame house' and dated to the MBA; houses V and IV were destroyed by fire (a/bot studies by Robinson and Harild are based on samples from these); House V: is small and measures 12.5x5m and at its E end the exavators reported that it appeared to be 'paved with burnt grain' - so was presumably the remains of a grain store - it is dated to (K-6624) 3870 <U+00B1> 65bp, i.e. the early part of the Late Neolithic; House IV: is much larger and measures 10x50m (2nd phase) and with clear evidence of stalls at the E end - 14C dates show that it was built c.1430BC and was re-built/altered between 1390-1330BC after being destroyed by fire; archaeobotany: flotation was carried out by the excavator (no details on mesh sizes given but reference is made to Robinson's 1992 paper); 19 samples were taken from house V (only 4 of which have been analysed) and 40 were taken from house IV (all analysed); samples from house V were of the burnt grain on the floor and from house IV the post-holes from roof-bearing and wall posts, and deep pits were sampled;  all entries in db are taken from the tables in the 1999 report  [Robinson notes the presence of indet. burnt organic material in all LNeo samples and a majority of EBA samples]",S8889,flotation,NULL,NULL
"(see also notes on Robinson's Bjerre Eng sites 2&3) - the site is locate on an uplifted former sea floor - blown sand has covered the area and preserved extensive areas of prehistoric fields, houses, etc.; the Thy Archaeological project returned to the area beween 1993-97 to excavate 2 houses: site 6 (EBA) and site 7 (LBA); Kelertas's thesis relates to site 6 which she calls Thy 2999; the structure she sampled is the so-called 'chiefly house' in site 6 (see Earle et al 1998): it is a 3-aisled 25mx8m structure - pairs of large roof-support posts divide the interior space; a well-defined cultural layer at site 6 is preserved under the aeolian sands - in the uppermost level there were visible ard marks indicating that the house area had been ploughed after abandonment; the cultural layer was excavated and below this were the post and pit features belonging to the house; at the W end of the house there were at least 11 c. 0.5-1.0m diameter/0.5m deep cooking pits (redug many times) characteristic of EBA houses; the pits were filled with fire-cracked grainite stone at their bases; the floor around the pits was defined by a carbon/charcoal rich compact lens which comprised burnt cooking debris; archaeobotany: Kelertas took samples inside and outside the house, from the floor layer, and from pits (mainly the cooking pits) and hearths (she states 192 flotation samples were taken but only 47 are listed in the appendix); all remains are charred; mention is made of a SMAP flotation machine for processing the samples - with the finest mesh of 0.17mm (i.e., chiffon); I can't work out what the different columns relate to in her tables but if L=sample size the volumes for the Thy 2999 samples ranged between 5 and 13 litres [Kelertas notes dung fragments in 19% of the samples]",S8890,"machine flotation",0.17mm,NULL
"the site is in N Jutland to the W of Hjarbaek fjord; 14C dates indicate that the site is dated to the latest part of the Single Grave culture; it was excavated between April and December 1997; the Single Grave culture settlement comprises 2 building plots c.10m apart to the N and S; the S building had sunken floor c.7m long and in the basal layer and the overlying soil there was a significant pottery assemblage - together with a large number of scorched stones, querns and worked flint (ard marks showed that ploughing took place immediately after the building was abandoned; the N building also had a sunken floor of about the same length and the basal layer/overlying soil comprised a pottery assemblage - burnt stones, groundstone tools, flints were also found (as with the S building, ard marks showed there had been cultivation after abandonment); archaeobotany: 2 samples were submitted prior to AMS dating by the museum inspector John Simonsen (Skive museum) that had been taken from the bottom layer in two houses belonging to the Single Grave culture: the north house (I) and the south house (II); in each case the samples were processed by flotation using a mesh size of 0.5mm or less; in 1999 the residues from these samples were examined and a further 9 samples (8 from house II and 1 from house I) were analysed; in total 11 samples with a volume of 125L were taken from the 2 houses; charred and uncharred remains were present but the latter are considered by the authors to be contaminants and are not included in their discussions (and are not entered in the db); taxa from the 2 houses are amalgamated in the db",S8891,flotation,0.5mm,NULL
"the site is in the SE part of Langeland east of Tryggelev; ceramic finds date the site to the TRB MNIA; archaeobotany: the study was concentrated around the sunken house L (destroyed by burning) and the adjacent pit AK; a total of 12 samples each of 10L was taken by the excavator from the bottom layer in house L and from layers in pit AK; the samples (or smaller subsamples) were processed by flotation (bucket) on a 0.5mm mesh - the heavy residues were sieved on 2.0, 1.0, 0.5 mm meshes; R&W note that most of the plant remains were recovered from the residues rather than the flots largely due to the clay content in the samples; a majority of the plant remains are charred with very few uncharred specimens - R&W exclude these from any discussions and consider them as contaminants [most of the plant remains are in the samples from the pit]",S8892,"bucket flotation",0.5mm,NULL
"between 1971-1976 the early BA settlements at Vadgaard were excavated by Lomborg (National Museum Copenhagen); the site is on the south site of the Limfjord - E of Aggersund and not far the bridge (see Lomborg 1976 for more details) - on a terrace above the slope of the former shoreline; Lomborg (p424 and fig. 1) notes that CC was the largest of the pits - presumably later interpreted as a hearth/oven; archaeobotany: most of the charred plant remains came from a sunken hearth (oven CC) situated close to one of the houses found during the excavations (see Lomborg fig. 1); according to the excavator the hearth probably formed the lower part of an oven; some of the grains from the sample were submitted for 14C dating and the others (2.3g) were identified; no details were given on recovery methods/sieve sizes",S8893,NULL,NULL,NULL
"this site contained a Late Neolithic segmented ring-ditch and Neolithic pits, post-holes and tree-throw holes; later activity was also located at this site, and a number of the Neolithic features were found to contain residual material; Archaeobotany: charred plant remains were recorded in 4 samples from Neolithic pits and a ring-ditch. The samples were washed/processed with water, using a sieve of 0.50 mm mesh size; a large quantity of hazelnut shell fragments was present, as well as occasional cereal grains (wheat), tubers and seeds of other wild plants.",S8899,wet-sieving,0.5mm,NULL
"the site is located in Tjorring in C Jutland - it was excavated in the spring and summer 2006 by the Herning museum; a total of 8 houses were found - 4 of which were 3-aisled and 3 were 2-aisled and one small house was almost a square shape; the northernmost of the excavated houses (A224) was a very well preserved 2-aisled structure (15.5mx6m) - dated to the later part of the Late Neolithic; 8m to the N of the house was a large pit A452 - circular in outline with a diameter of 175cm and flat bottomed - depth 40cm; in connection with the pit (i.e., at the base) was a rough-thick walled pot - noticeable by the large amounts of charred plant remains in the fill; samples for a/bot analysis were taken from several contexts but the data included in the report are from different layers in pit A452 (judged to be the richest context); archaeobotany: bucket flotation was tested for suitability on the 4 samples from the layers in A452 (see fig. 4 for the section drawing of the pit) and it was found that the acorns were too dense and did not float - so this method was abandoned and all samples (/sub-samples) were wet-sieved on a mesh of 0.5mm (a smaller mesh of 0.25 was tested to see if any weed seeds were overlooked using the larger mesh - none were); the similarity in composition of remains in the different layers of the pit indicates the fill derived from the same context and/or was deposited over a very short period; Jensen records total number of items identified in the subsamples and also the total extrapolated for the whole sample volume (I've entered the former in the db)",S8902,wet-sieving,0.5mm,NULL
"the site is located to the SW of Gjern in Central Jutland; it was excavated in 2005 by Karen Rysgaard; the Single Grave culture house was discovered during the excavation of an Iron Age settlement; in the house there was a burnt layer which lay directly on top of a stone paving layer; archaeobotany: two samples were taken from this layer (A259, A259/260) and were processed by ?wet-sieving with a mesh size of 0.4mm; no other details are recorded for the sample provenance and for the purpose of db entries I have amalgamated totals (A259 had only a few fragments of acorn and hazelnutshell) - all remains are charred",S8904,wet-sieving,0.4mm,NULL
"the site is located (underwater) off the N coast of AEro between AEroskobing and Dejro; in 1972 the Langeland museum started systematic reconnaissance of submerged settlements in the S Funen archipelago - in 1987 the Mollegabet II settlement was discovered (the settlements in Mollegabet had been known about since the 1920s but no further exploration was carried out until the 1970s/80s); the Skaarup & Gron 2004 publication comprises the results of excavations between 1988-93 of the oldest and deepest of the Møllegabet settlements; underwater excavation used injector pumps that removed cultural material and discharged it through fine-meshed nets thus ensuring all small artefacts were not lost; the Møllegabet II settlement is associated with a plateau (100m N/S, 35-40m E/W) which extends along the W point and down the SW side of a low submerged spit to the W of Dejrø; settlement deposits were only preserved on the S half of the plateau - a grey sand layer c.15-20cm thick contained large quantities of worked flint, faunal remains, stones, shell fragments, charcoal and gyttja; remains of a dwelling structure with associated pit and midden structures were discovered; the latter was obvious because of the accumulation of mollusc shells (the midden measured 8x3m); archaeobotany: Mason's report in the 2004 publication comprises an analysis of samples recovered across and around the dwelling structure (most of her report deals with the spatial distribution of plant remains throughout the site); I've only included taxa identified in two bulk samples (805, 806) of 1L each - 805 is from layer 2 on the surface of the old bark platform to the N part of the dwelling and 806 is from layer 3 on the lower floor in the SW of the interior of the dwelling; the 2 samples were wet sieved on meshes of 4, 2, 1, 0.5, 0.25, 0.09mm (the latter fraction was not examined); the 4mm fraction was sorted completely, the 2mm fraction was sorted for charcoal, seeds, fruits, etc., and below 2mm fractions were sorted for seeds and fruits; charred and waterlogged specimens were found in the bulk samples [many taxa are recorded only in terms of relative abundance][Note: Robinson's list of taxa from the site - included in the Robinson and Harild 2002 publication - derives from his analysis of 3 samples recovered by injector pumps with a mesh size of 6mm - I've included taxa from his list if absent from the taxa recorded by Mason; R's 3 samples (521, 525, 535) came from 3 x 3m units within the waste layer surrounding the dugout boat burial] ",S8905,wet-sieving,"4.0mm, 2.0mm, 1.0mm, 0.5mm, 0.25mm, 0.09mm",NULL
"the small village of Hekelingen is in the polder of Friesland; Hekelingen covers a series of former dwellings - Bakels' report refers to work done at Hekelingen 3: a complex of settlement sites uncovered in 1980 in a rescue excavation; the excavation was carried out by Louwe Kooijimans and de Velde (Nat Mus Leiden); the excavation showed that the creek (where the settlements are located) was active at the time of occupion - the vertical stratigraphy comprises cultural layers interspersed with sterile deposits; at least 4 recurrences of of human settlement can be distinguished - the first 3 were most abundant (=LNeo/Vlaardingen) and the last was Bell Beaker with only scant traces; the excavators considered that there were no more than c.15 people inhabiting the settlements at a time; archaeobotany: intensive sampling/sieving was carried during the excavation; one litre of sediment was sampled per sample; both charred and uncharred remains were preserved (more than 100 samples were investigated in total); Bakels reports on 13 samples from 3 different centres of occupation (from fig. 4 they appear to be stratigraphically discrete) - site A (lowest in the sectinon) is from phase 1 (Vlaardingen 1a); site B is a large site at the highest point of the levee (Vlaardingen 1b/2a); and site D (uppermost in the section) is dated to Vlaardingen 2a; Bakels approximates for numbers of specimens of over 100 - she also gives relative abundance for specimens 'seen in surplus sample' (not sure what this means)Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S8929,wet-sieving/dry-sieving,NULL,NULL
"the site is in the province of Noord-Holland near to Aartswoud and is located on the sandy levees of a tidal creek; excavations were carried out between 1972-1978 by Prof. Glasbergen; the site consists of a number of shell middens with shell layers alternating with layers of black soil and lenses of ash/clay; the occupation levels lie in or on tidal flat sediments (the top of which is dated to c.4160bp (uncal); the brackish-water creek was open during the habitation - silting up took place post-habitation and peat layers sealed the cultural deposits; the site was excavated in 1m squares and by layer - all excavated soil was sieved through a 4mm mesh (at the date of writing only 340 squares had been excavated); concentrations of post-holes were uncovered but no structures have been reconstructed; a hearth/oven was also identified; archaeobotany: from selected squares columns of 2L samples were taken for a/bot analysis of uncharred plant remains - the samples were wet-sieved on meshes of 2, 1, 0.5, 0.25mm; concentrations of charred plant remains were sampled and processed in the field by flotation using 2, 0.5mm meshes; from some squares the entire black soil layers between soil levels were floated; large seeds, etc. were collected from the 4mm excavation sieve; Pals notes that the samples are predominantly derived from refuse layers: the waterlogged taxa are listed in table 1 (by presence only); charred taxa from square 14 in table 3; charred taxa from 3 layers in a supposed hearth are given in table 4; db entries refer to taxa listed in table 3 (where numbers have been calculated for a sample size of 200L) and presence only records are added for taxa present in the hearth and for potentially edible waterlogged taxa listed in table 1 [lists in Gehasse 2001 comprise more wild taxa but the records of domestic species are similar (except for the fact that he/she records more cereal chaff)] ",S8934,flotation,"2.0mm, 0.5mm",NULL
"site discovered in 1986 during field mappping; surveyed with boreholes between 1986-1996 and in February/March 2000 there was detailed survey with 14 boreholes for sampling for environmental materials [all stratigraphic details were determined from boreholes]; archaeobotany: 1 litre samples were taken in each case and were wet-sieved on a 0.5mm mesh; a total of 11 samples are recorded by Smeerdijk in table 1; he notes the presence of uncharred remains that  are considered to be recent intrusions (not included in db entries)",S8936,wet-sieving,0.5mm,NULL
"site discovered in 1986 during field mapping; investigated by survey and boreholes between 1986-1996 and in 2000 detailed survey with 52 boreholes for environmental sampling; archaeobotany: 1 litre samples were taken in each case and were wet-sieved on a 0.5mm mesh; a total of 14 samples are recorded by Smeerdijk in table 2;  he notes the presence of uncharred remains that  are considered to be recent intrusions (not included in db entries)",S8937,wet-sieving,0.5mm,NULL
"site was discovered in 1986 during archaeological exploration of the land consolidation area of De Grouw and encountered in drilling a black occupation layer with mussel and bone fragments; subsequently between 1986-1990 there were further drilling surveys and sampling for environmental materials; archaeobotany: 1 litre samples were taken in each case and were wet-sieved on a 0.5mm mesh; a total of 7 samples are recorded by Smeerdijk in table 3;  he notes the presence of uncharred remains that  are considered to be recent intrusions (not included in db entries)",S8939,wet-sieving,0.5mm,NULL
"site was discovered in 1986 during field mapping; investigations by boreholes and test pits were carried out from 1986-1999; archaeobotany: 1 litre samples were taken in each case and were wet-sieved on a 0.5mm mesh; a total of 11 samples are recorded by Smeerdijk in table 4;  he notes the presence of uncharred remains that  are considered to be recent intrusions (not included in db entries)",S8940,wet-sieving,0.5mm,NULL
"site was discovered in 1986 during field mapping; borehole investigations were carried out between 1986 and 2000; archaeobotany: 1 litre samples were taken in each case and were wet-sieved on a 0.5mm mesh; a total of 3 samples are recorded by Smeerdijk in table 5;  he notes the presence of uncharred remains that  are considered to be recent intrusions (not included in db entries)",S8941,wet-sieving,0.5mm,NULL
"from 1996 the municipality of Rijswijk conducted archaeological research on the VINEX location (location of Ypenburg-school 4) with the cooperation of the Archaeological Workgroup Rijswijk (AWR) and led by the municipal archaeologist Dr. J.M. Talus; the site is located on a 500 m long dune - it was inhabited during the period of approximately 3800-3000 years BC; by a process of erosion and merging, the dunes become larger - in the latter stage of development had dune a width of about one hundred meters and a height of about five feet; ancient soils with habitation layers accumulated with alternating with layers shifting sands - to date during research on different parts of the dune there were a total of four occupation layers encountered; in 1998, a study was carried out at the site of the school - the excavation was on the western part of the dune and here there were two occupation layers with pits, post holes and remains of fireplaces; a number of pits were found with deep and almost vertical walls - it iis possible that these are water-pits (?wells); archaeobotany: 347 samples each of 1 litre were taken in order to compare the composition/preservation of plant remains across the site - on this basis 12 samples were chosen for full analysis; habitation layers, water-pits (?wells), fireplaces and pits from phases I and II were sampled (volumes ranged between 5-1 litres); samples were wet-sieved on meshes of 0.25, 0.5, 1.0 and 2.0mm - the latter two fractions were sorted in their entirety and those from the smaller meshes were only partially sorted; waterlogged and charred remains are preserved (the vast majority are waterlogged) - as with other sites I've entered charred remains (and noted if taxa are also found in waterlogged form) and waterlogged taxa that are known to be edible (as in PFAF) - all other waterlogged remains are omitted from db entries",S8948,wet-sieving,"2.0mm, 1.0mm, 0.5mm, 0.25mm",NULL
"the site was first investigated in 1985 by F. Diederik using a single test pit - followed a year by later Van Haaff who conducted a full excavation prior to the site's destruction for bulb production; in 1986 the site was divided into 4 quadrants separated by a 1m baulk - each quadrant was stripped of topsoil down to a depth of 6-70cm (excavation was done in m2); most of the Neolithic features were in trench 3; the pits (n=25) are the earliest anthropogenic feature at the site - they show signs of rapid backfilling and contain few finds - many were waterlogged during excavation; the cultural layer fills the tops of many of the pits above the natural backfill - the layer is up to 20cm thick and comprises at least a few habitation phases; within this layer 5 charcoal areas have been interpreted as hearths; cattle hoof marks cut into few of these hearths and are present below others; postholes and stakes (n=666) form the majority of features at the site; there are also 4 possible plough marks - there is uncertainty about the contemporaneity of these with the LNeo occupation; archaeobotany: samples were taken during the 1986 excavation; with the exception of 2 samples that were taken from possible wells all other samples derive from the occupation layer; the samples were collected on a 1m2 grid and within the c.20cm occuption layer; only the SE part of the site was sampled systematically while other areas were sampled more randomly; in total 87 samples were taken (vols: 1.5-3L); samples were wet-sieved on a 0.25mm mesh; a total of 18 samples was selected for fully analysis - with the exception of waterlogged remains recovered from the wells (features 1001, 1003) all the remains from the occupation deposits were charred; all samples were from trenches 3&4; as with other sites I've entered charred remains (and noted if taxa are also found in waterlogged form) and waterlogged taxa that are known to be edible (as in PFAF) - all other waterlogged remains are omitted from db entries [all data taken from Appendix III] [KM notes several lumps of 'processed food and also organic residues encrusted on pottery -the organic lumps revealed seeds and grains embedded in the matrix]",S8952,wet-sieving,0.25mm,NULL
"two Early Neolithic rectangular structures were recorded at  Site 3 (Phase 1); two Early Bronze Age fulachta fiadh were also located nearby (Phase 2), as well as a possible Iron Age structure; excavation licence number: E2416, A040.; Archaeobotany: soil samples were taken during the excavation from structural and nearby features associated with the Early Neolithic houses; archaeobotanical analysis of the samples revealed that charred remains were present in 31 deposits; all samples were washed/processed with water, using sieves of 0.25 mm mesh size; density of finds was generally low, with the exception of post-hole C112 and slot-trench C580, each of which contained a relatively large quantity of hazelnut shell fragments; emmer wheat grains and chaff were also recorded, as well as a weed seed.",S9046,wet-sieving,0.25mm,NULL
"area 4 contained an Early Neolithic rectangular house; a pit in nearby Area 11 contained Neolithic pottery; iron Age activity was also recorded nearby; excavation licence number: AE/02/97.; Archaeobotany: seven soil samples were taken from deposits associated with the house, all of which contained charred plant remains; the samples were washed/processed with water, using a sieve of 0.30 mm mesh size; hazelnut shell, cf. emmer wheat grains, hulled barley grains and other seeds were present; exact counts of material were not provided for hazelnut shell.",S9172,wet-sieving,0.3mm,NULL
"Early Bronze Age remains were recorded in Areas 1 and 3 at Site 1b; area 1 contained an Early Bronze Age structure (Structure 1); although the structure had the appearance of an Early Neolithic rectangular structure, two 14C dates indicated that it belonged to the Early Bronze Age period; it should be noted, however, that Early Neolithic ceramics were recorded in a deposit associated with the structure; area 3 at this site contained Early Bronze Age pits and post-holes; Late Mesolithic pits, Middle Neolithic pits and an early medieval drying kiln were located nearby; excavation licence number: E2410, A040.; Archaeobotany EBA: charred plant remains were recorded in five samples from the Early Bronze Age structure in Area 1 and features in Area 3; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size.; hazelnut shell fragments and barley grains were recorded.; LM: charred plant remains were recorded in 21 samples from Late Mesolithic pits at the site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; hazelnut shell was found in large quantities; occasional seeds from other wild plants were also present; cereal remains were found in two pit fills, but are likely to represent later activity [Note from SC: I have not entered these taxa in the db] - both of these pits produced Late Mesolithic 14C dates but also contained Neolithic lithics.",S9173,wet-sieving,0.25mm,NULL
"site 13 contained an Early Neolithic rectangular house; later activity at this site included Late Neolithic/Early Bronze Age pits, a Late Bronze Age enclosure and early medieval kilns; excavation licence number: 06E0485.; Archaeobotany: seven deposits associated with the house contained charred plant remains; the material was hand-picked during the excavation, except for C325, which was a soil sample washed/processed with water, using a sieve of 0.25 mm mesh size; hazelnut shell and cereal remains (including cf. emmer wheat) were present, as well as weed remains; exact counts of material were not provided (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50).",S9174,"wet-sieving, hand-picked",0.25mm,NULL
"site 35 contained a Middle Neolithic pit complex; nearby activity included Late Mesolithic hazelnut shell, a Middle Neolithic ring-ditch and Iron Age metal-working. Excavation licence number: 04E0319.; Archaeobotany: charred plant remains were recorded in nine samples from Middle Neolithic pits and a post-hole at the site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; cereal grains (including emmer wheat) and hazelnut shell were present; exact counts of material were not provided (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50). [Note from SC: all taxa are rare appart from hazelnutshell fragments]",S9175,wet-sieving,0.25mm,NULL
"the site is in the commune of Ans, in the province of Liege (Jadin 2003: 41; data from Salavert 2010); located in SE edge of the Hesbaye plateau, at ca. 150 m altitude, on one of the terraces of the Meuse; discovered by Dradon & Mattart in 1968 (Otte & Delye 2000: 151); rescue excavations directed by Marchal undertaken in 1998 & 1999 on ""le domaine militaire"" (zone 4; Marchal 1998,1999); another excavation campaign by the Free University of Liege, with the assistance of the Walloon region, took place in 2000, on the area known as  ""A l'Arbre de la Mere Dieu"" (zone 5&6; Otte & Delye 2000: 151); the latest campaign was carried out in 2007 by Marchal & Hauzeur (in zones 1, 2 & 3); an area of 5000 m2 is preserved and only ca. 30 cm of the surface layer has been lost by ploughing (Hake and Marchal 2003); five house plans were identified: the plan of five houses have been identified: two houses (MIV and MV) are in zone 1 - seriously affected by construction work (Collin and Marchal 2000), and three houses (MI to MIII) in zones 2 and 3; 2 areas of burning were uncovered - structure 2-40, interpreted as a hearth/oven is at the front of MI; this hearth/oven measures 1.50 m in diameter at the top and is preserved to a maximum depth of 74 cm; structure 99-14 (AS describes 99.44 in the text but the samples in table 18 refer to 99.14) is at a distance of about 20 m E of MI, it is a circular pit in which were arranged two basins a depth of 30 and 35 cm; the structure is bounded by ten post holes; 2 chronologically distinct phases of occupation were identified in zones 2 and 3 - MI is more recent than MII (Hake and Marchal 2000); results of ceramic analysis indicate occupation of the site covered the transition between middle Rubane & the beginning of the late Rubane (the precise ceramic seriation of the pits is in progress thus limiting the chronological resolution of the a/bot results); archaaeobotany: samples were weighed prior to sieving (?wet-seiving); 7.3 kg of soil were processed from Alleur (Salavert 2010, 44); the deposits were clay-rich which made flotation difficult - to facilitate dispersion of clays and to limit fragmentation, the samples were placed in a drying oven for c. 24 hours at 50 degrees C; they were soaked(?) in a water and then sieved on a mesh of 250 micron; Salavert comments that for all sites the density of remains is low (4.3 items/l; Salavert 2010, 57) [22 samples recorded but 3 are sterile - ubiquity calculated for 19 only]",S9179,wet-sieving/flotation,0.25mm,NULL
"the site is in the commune of Ans, in the province of Liege (Jadin 2003: 41); located in SE edge of the Hesbaye plateau, at ca. 150 m altitude, on one of the terraces of the Meuse; discovered by Dradon & Mattart in 1968 (Otte & Delye 2000: 151); rescue excavations directed by Marchal undertaken in 1998 & 1999 on ""le Domaine Militaire"" (zone 4; Marchal 1998,1999); another excavation campaign by the Free University of Liege, with the assistance of the Walloon region, took place in 2000, on the area known as ""A l'Arbre de la Mere Dieu"" (zone 5&6; Otte & Delye 2000: 151); the latest campaign was carried out in 2007 by Marchal & Hauzeur (in zones 1, 2 & 3); archaeobotany: the archaeobotanical study sampled pits in the plot called the  ""A l'Arbre de la Mere Dieu"", which is a continuation (adjacent to?) of that carried out on Rubane pit 26 at ""Domaine militaire"" (Dietsch Sellami-2002); two pits were sampled from zones 5&6: 05.001 and 06.011 (located in zones 5 and 6 respectively); a total of 26L was sampled from 05.001 and 10L from 06.011; wet sieving was carried out on meshes of 2, 1 and 0.5mm (the entirety of the larger flots was sorted and the 0.5 flot was subsampled); all remains were charred",S9180,wet-sieving,"2.0mm, 1.0mm, 0.5mm",NULL
